"date";"cas"
"1";2009-06-21;528
"2";2009-06-28;424
"3";2009-07-05;466
"4";2009-07-12;740
"5";2009-07-19;604
"6";2009-07-26;416
"7";2009-08-02;480
"8";2009-08-09;512
"9";2009-08-16;372
"10";2009-08-23;414
"11";2009-08-30;670
"12";2009-09-06;1054
"13";2009-09-13;1504
"14";2009-09-20;1340
"15";2009-09-27;1516
"16";2009-10-04;1254
"17";2009-10-11;1362
"18";2009-10-18;1446
"19";2009-10-25;1122
"20";2009-11-01;1534
"21";2009-11-08;2060
"22";2009-11-15;2802
"23";2009-11-22;2820
"24";2009-11-29;2264
"25";2009-12-06;1924
"26";2009-12-13;1334
"27";2009-12-20;836
"28";2009-12-27;976
"29";2010-01-03;1438
"30";2010-01-10;1436
"31";2010-01-17;1476
"32";2010-01-24;1590
"33";2010-01-31;1298
"34";2010-02-07;1332
"35";2010-02-14;1566
"36";2010-02-21;1810
"37";2010-02-28;1496
"38";2010-03-07;1520
"39";2010-03-14;1474
"40";2010-03-21;1540
"41";2010-03-28;1360
"42";2010-04-04;1220
"43";2010-04-11;1298
"44";2010-04-18;1248
"45";2010-04-25;600
"46";2010-05-02;910
"47";2010-05-09;1074
"48";2010-05-16;1016
"49";2010-05-23;1066
"50";2010-05-30;992
"51";2010-06-06;772
"52";2010-06-13;578
"53";2010-06-20;492
"54";2010-06-27;594
"55";2010-07-04;754
"56";2010-07-11;576
"57";2010-07-18;638
"58";2010-07-25;410
"59";2010-08-01;394
"60";2010-08-08;500
"61";2010-08-15;416
"62";2010-08-22;372
"63";2010-08-29;704
"64";2010-09-05;986
"65";2010-09-12;1408
"66";2010-09-19;1304
"67";2010-09-26;1194
"68";2010-10-03;1438
"69";2010-10-10;1530
"70";2010-10-17;1422
"71";2010-10-24;1070
"72";2010-10-31;1102
"73";2010-11-07;1506
"74";2010-11-14;1356
"75";2010-11-21;1410
"76";2010-11-28;1602
"77";2010-12-05;1740
"78";2010-12-12;1688
"79";2010-12-19;2204
"80";2010-12-26;2114
"81";2011-01-02;2616
"82";2011-01-09;2736
"83";2011-01-16;3214
"84";2011-01-23;2720
"85";2011-01-30;3240
"86";2011-02-06;2594
"87";2011-02-13;2246
"88";2011-02-20;1430
"89";2011-02-27;1878
"90";2011-03-06;1638
"91";2011-03-13;1670
"92";2011-03-20;1602
"93";2011-03-27;1508
"94";2011-04-03;1126
"95";2011-04-10;1154
"96";2011-04-17;878
"97";2011-04-24;512
"98";2011-05-01;720
"99";2011-05-08;968
"100";2011-05-15;1064
"101";2011-05-22;900
"102";2011-05-29;958
"103";2011-06-05;922
"104";2011-06-12;642
"105";2011-06-19;722
"106";2011-06-26;494
"107";2011-07-03;490
"108";2011-07-10;486
"109";2011-07-17;486
"110";2011-07-24;506
"111";2011-07-31;388
"112";2011-08-07;428
"113";2011-08-14;334
"114";2011-08-21;446
"115";2011-08-28;576
"116";2011-09-04;774
"117";2011-09-11;1048
"118";2011-09-18;1446
"119";2011-09-25;1542
"120";2011-10-02;1656
"121";2011-10-09;1400
"122";2011-10-16;1380
"123";2011-10-23;1082
"124";2011-10-30;836
"125";2011-11-06;1402
"126";2011-11-13;1282
"127";2011-11-20;1436
"128";2011-11-27;1752
"129";2011-12-04;1500
"130";2011-12-11;1368
"131";2011-12-18;1312
"132";2011-12-25;836
"133";2012-01-01;1454
"134";2012-01-08;1712
"135";2012-01-15;1532
"136";2012-01-22;1970
"137";2012-01-29;1810
"138";2012-02-05;1836
"139";2012-02-12;1940
"140";2012-02-19;1678
"141";2012-02-26;2166
"142";2012-03-04;2274
"143";2012-03-11;2184
"144";2012-03-18;2098
"145";2012-03-25;1822
"146";2012-04-01;1468
"147";2012-04-08;1112
"148";2012-04-15;1438
"149";2012-04-22;770
"150";2012-04-29;484
"151";2012-05-06;940
"152";2012-05-13;742
"153";2012-05-20;908
"154";2012-05-27;954
"155";2012-06-03;928
"156";2012-06-10;576
"157";2012-06-17;600
"158";2012-06-24;594
"159";2012-07-01;690
"160";2012-07-08;568
"161";2012-07-15;498
"162";2012-07-22;378
"163";2012-07-29;350
"164";2012-08-05;520
"165";2012-08-12;434
"166";2012-08-19;432
"167";2012-08-26;426
"168";2012-09-02;526
"169";2012-09-09;1022
"170";2012-09-16;1412
"171";2012-09-23;1390
"172";2012-09-30;1582
"173";2012-10-07;1422
"174";2012-10-14;1550
"175";2012-10-21;1418
"176";2012-10-28;568
"177";2012-11-04;1268
"178";2012-11-11;1366
"179";2012-11-18;1480
"180";2012-11-25;1572
"181";2012-12-02;1544
"182";2012-12-09;1706
"183";2012-12-16;1278
"184";2012-12-23;676
"185";2012-12-30;1326
"186";2013-01-06;2000
"187";2013-01-13;2538
"188";2013-01-20;2320
"189";2013-01-27;3014
"190";2013-02-03;2500
"191";2013-02-10;2510
"192";2013-02-17;2698
"193";2013-02-24;2120
"194";2013-03-03;2232
"195";2013-03-10;2180
"196";2013-03-17;2122
"197";2013-03-24;2046
"198";2013-03-31;1702
"199";2013-04-07;1704
"200";2013-04-14;1736
"201";2013-04-21;1364
"202";2013-04-28;652
"203";2013-05-05;1004
"204";2013-05-12;952
"205";2013-05-19;1088
"206";2013-05-26;1306
"207";2013-06-02;1424
"208";2013-06-09;1274
"209";2013-06-16;730
"210";2013-06-23;660
"211";2013-06-30;726
"212";2013-07-07;480
"213";2013-07-14;324
"214";2013-07-21;376
"215";2013-07-28;336
"216";2013-08-04;362
"217";2013-08-11;352
"218";2013-08-18;404
"219";2013-08-25;546
"220";2013-09-01;448
"221";2013-09-08;1042
"222";2013-09-15;1394
"223";2013-09-22;1476
"224";2013-09-29;1374
"225";2013-10-06;1560
"226";2013-10-13;1346
